DATA.RIO,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
,,,,,,,,,,,,,,,,,
"Tabela 2295 - Incidências de roubos, por mês, total, diferenças com relação ao ano anterior, população e taxa por cem mil habitantes segundo o ano, no Município do Rio de Janeiro entre Janeiro/2003 – Outubro/2023",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Ano,Incidências de roubos¹,,,,,,,,,,,,,,,,
,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,Total2,Diferença Absoluta2,Diferença %2,População3,Taxa por 100 mil hab2
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
2003,6909,7130,6579,6739,7374,6343,6354,6262,6604,6863,6423,6832,80412,..,..,6012068.513533,1337.5097076654201
2004,6630,6168,7252,6716,6694,6449,6433,5520,5699,5853,5931,6289,75634,-4778,-5.94189921902204,6057933.040128999,1248.5116540408217
2005,6044,6158,7035,6880,7031,6579,6290,6495,5846,6312,6167,6147,76984,1350,1.7849115477166277,6104147.455813,1261.1753001918046
2006,5952,6301,6494,7109,7504,6667,6596,6671,6744,7488,7393,6999,81918,4934,6.409123973812747,6150714.429304,1331.8452830408783
2007,7161,6658,8417,7532,8008,7417,6768,7457,7246,7539,7379,7611,89193,7275,8.880832051563758,6197636.649838999,1439.145355549636
2008,7813,7201,7137,7011,7112,6961,7502,7406,7313,8079,7070,7301,87906,-1287,-1.442938347179712,6244916.828690002,1407.6408447290735
2009,7512,7558,8272,7361,7724,7160,6908,6426,5996,6064,6158,6190,83329,-4577,-5.2066980638409195,6291020.223270002,1324.57053137061
2010,6199,6114,7190,6405,6253,5829,5791,5617,5607,5671,5165,5011,70852,-12477,-14.973178605287474,6336533.686185001,1118.1507667902488
2011,5221,5126,5437,5055,5044,4751,4959,5041,4963,4711,4474,4674,59456,-11396,-16.084231920058713,6370270.640403001,933.3355418670037
2012,4505,4966,5078,4810,5087,4556,4519,4526,4046,4380,4111,4165,54749,-4707,-7.916778794402579,6406820.411135,854.5424483078486
2013,4482,4549,4897,4852,5230,4838,5009,5638,5450,6026,5925,6233,63129,8380,15.306215638641806,6439828.099145997,980.2901417255487
2014,6859,6539,7017,6796,6677,6084,6558,5970,6084,6760,6846,7014,79204,16075,25.46373299117679,6463249.752351999,1225.4516386462922
2015,7740,7304,7341,6712,6793,6181,6156,6100,6410,6567,6856,7457,81617,2413,3.0465633048835983,6485888.788953,1258.3780366233386
2016,8191,8523,8124,7759,8240,8446,8233,8117,8571,9503,9908,9399,103014,21397,26.216351985493212,6501392.9667340005,1584.4912086855363
2017,7240,5423,11976,12087,11801,11148,11811,11110,10271,10115,10249,9895,123126,20112,19.523559904479004,6591927.7559009995,1867.8299362395069
2018,11192,10820,11076,10188,10441,9779,9306,9677,9466,10017,9987,9162,121111,-2015,-1.6365349316959876,6709313.619785001,1805.1175852453443
2019,9806,9536,10413,9626,9570,7781,8461,8361,7216,8102,7757,7510,104139,-16972,-14.01359083815673,6749648.942651,1542.880242881169
2020,8410,7916,6537,4158,3747,3920,5167,4729,4761,5055,5502,5575,65477,-38662,-37.12538050106108,6789289.518684999,964.4160824162656
2021,6111,6007,5913,5182,5214,5021,5355,5123,5153,4753,4576,4721,63129,-2348,-3.58599202773493,6794785.429629,929.0801108262059
2022,5015,4811,5599,5432,5257,5272,5383,5340,5379,5394,5546,5477,63905,776,1.2292290389519955,6772681.959720999,943.5700713551972
2023,4552,4369,5119,4565,4981,4193,3676,4157,4113,4501,..,..,44226,..,..,..,..
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Fonte: Instituto de Segurança Pública.  Disponível em <http://www.ispdados.rj.gov.br/> acesso em 27/11/2023,,,,,,,,,,,,,,,,,
Notas:,,,,,,,,,,,,,,,,,
"1 - Total de roubo  (Roubo a Estabelecimento Comercial, Roubo a Residência, Roubo de Veículo, Roubo de Carga, Roubo a Transeunte, Roubo em Coletivo,  Roubo a Banco, Roubo de Caixa Eletrônico, 
Roubo de Aparelho Celular, Roubo com condução da vítima para saque em I.F., roubo de bicicleta e outros): utilizado para definir a subtração, para si ou para outrem, de coisa alheia móvel, mediante o uso de violência ou grave ameaça. Ver Código Penal, art.157.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"2 - Cálculos e tabulação: IPP, Coordenadoria Técnica de Informações da Cidade.",,,,,,,,,,,,,,,,,
"3 - Projeção realizada pelo ISP, referente a Dezembro ou do último mês disponível no ano. No ano de 2022, a última projeção da população divulgada pelo ISP refere-se ao mês de Julho.",,,,,,,,,,,,,,,,,
... Dado numérico não disponível,,,,,,,,,,,,,,,,,
.. Não se aplica dado numérico,,,,,,,,,,,,,,,,,
